기획MD,StyleCode,품명,시즌코드,컬러수,생산형태,생산처,원산국,전산입고계획일,작지일매,예상출고일(주차)
박술홍,QEBXX27711,TRAIL 남녀공용 트레일러닝 베스트 10L,X,2,사입,풍국산업,베트남,2027-01-15,O,
최지희,QEHEM27103,남녀공용 모스드라이 심리스 팔토시,M,2,사입,아이앤지,중국,2027-03-24,X,
최지희,QEHEM27105,남녀공용 모스드라이 손등 팔토시,M,2,사입,아이앤지,베트남,2027-03-24,X,
박진아,QEHFM27301,남녀공용 모스드라이 하이킹 스트레치 반장갑,M,3,사입,성원F&K,베트남,2026-12-11,X,
박진아,QEHFM27305,남녀공용 모스드라이 하이킹 자외선 차단 반장갑,M,3,사입,성원F&K,베트남/인도네시아,2026-12-11,X,
박진아,QEHFX27101,남녀공용 모스드라이 하이킹 스트레치 장갑,X,3,사입,시즈 글로벌,캄보디아,2027-01-15,O,
박진아,QEHFX27901,유통특화_남녀공용 하이킹 메쉬 긴장갑,X,3,CMT,시즈 글로벌,캄보디아,2027-01-15,X,
최지희,QELAX27111,남녀공용 메리노울 하이킹 크루 삭스,X,2,사입,크리스앤컴퍼니,국내,2027-01-18,X,
최지희,QELAX27121,남녀공용 메리노울 하이킹 컴프레션 크루 삭스,X,3,사입,크리스앤컴퍼니,국내,2027-01-18,X,
최지희,QELAX27131,남녀공용 메리노울 컴프레션 크루 삭스,X,3,사입,크리스앤컴퍼니,국내,2027-01-18,X,
최지희,QELAX27141,남녀공용 메리노울 하이킹 딥다잉 컴프레션 크루 삭스,X,2,사입,크리스앤컴퍼니,국내,2027-01-18,X,
최지희,QELAX27501,남녀공용 바이오맥스 니삭스,X,2,사입,건우 통상,국내,2027-01-18,X,
최지희,QELAX27511,남녀공용 그래픽 크루 삭스,X,3,사입,건우 통상,국내,2027-02-25,X,
최지희,QELAX27521,남녀공용 레트로 크루 삭스,X,3,사입,건우 통상,국내,2027-03-11,X,
최지희,QELAX27531,남녀공용 에센셜 크루 삭스,X,2,사입,범창모산,국내,2027-02-25,X,
최지희,QELAX27541,남녀공용 베이직 앵클 삭스,X,4,사입,건우 통상,국내,2027-02-25,X,
최지희,QELAX27551,남녀공용 에센셜 쿠셔닝 인비저블 삭스 3PACK,X,3,사입,범창모산,국내,2027-02-25,X,
최지희,QELAX27561,남녀공용 상록수 그래픽 크루 삭스,X,2,사입,범창모산,국내,2027-02-25,X,
최지희,QELAX27571,남녀공용 레터링 크루 삭스,X,2,사입,범창모산,국내,2027-03-11,X,
박술홍,QELAX27701,TRAIL 남녀공용 트레일러닝 크루 삭스,X,3,사입,크리스앤컴퍼니,국내,2027-01-15,X,
최지희,QEREM27131,남녀공용 메쉬 우븐 배색 캠프캡,M,2,사입,캐비야모자,국내,2027-03-12,O,
최지희,QEREM27151,남녀공용 에어도트 볼캡,M,4,사입,캐비야모자,국내,2027-03-12,O,
최지희,QEREM27171,남녀공용 에어도트 사하라캡,M,2,사입,주식회사 피앤지아이엔씨,베트남,2027-03-24,O,
최지희,QEREM27301,남녀공용 BPL 프린트 패널캡,M,1,사입,주식회사 피앤지아이엔씨,베트남,2027-03-24,X,
최지희,QEREM27311,남녀공용 BPL 패널캡,M,2,사입,주식회사 피앤지아이엔씨,베트남,2027-03-24,O,
최지희,QEREX27101,남녀공용 고어텍스 3L 볼캡,X,2,CMT,캐비야모자,국내,2027-01-18,O,
최지희,QEREX27111,남녀공용 고어텍스 2L 캠프캡,X,3,CMT,캐비야모자,국내,2027-01-18,O,
최지희,QEREX27401,남녀공용 면 트윌 볼캡,X,4,사입,주식회사 피앤지아이엔씨,베트남,2027-03-11,O,
박술홍,QEREX27711,TRAIL 남녀공용 트레일러닝 메쉬 캠프캡,X,2,사입,주식회사 피앤지아이엔씨,베트남,2027-01-15,O,
박술홍,QEREX27721,TRAIL 남녀공용 트레일러닝 에어도트 볼캡,X,2,사입,주식회사 피앤지아이엔씨,베트남,2027-01-15,O,
