MD,DS,StyleCode,품명,시즌코드,컬러수,기획수량,생산형태,생산처,원산지,출고차순,출고일(주차),작지발행,납기1차(참고),컬러구성,사양확정,비수기,원가합,소매가합,원단처,겉감정보,안감정보,생산처_소재DB
신인철,안세진,8UPNM27101,[WM] 남녀공용 우븐 벤틸레이션 팬츠,M,2,0,완사입,YIC,베트남,2차,4월2주,O,,"TNA, BLK(BLACK)",X,,19950000,57500000,플레이트,플레이트) DI-001C,,YIC
신인철,장지은,8UTBM27101,[WM] 남녀공용 메쉬 프린트 긴팔티,M,2,0,완사입,주연,국내,2차,4월2주,O,,"LGY(L/GRAY), BLK(BLACK)",X,,14170800,32400000,신원,신원) SWT-0572-1,,주연
신인철,장지은,8UPOM27102,[WM] 남녀공용 메쉬 벤틸 숏츠,M,1,0,완사입,TBO,베트남,2차,4월2주,X,,BLK(BLACK),X,,8010000,23700000,신원,신원) SWT-0572-1,,TBO
신인철,안세진,8USCM27101,[WM] 남녀공용 에어도트 피싱 셔츠,M,2,0,완사입,아이블,베트남,2차,4월2주,O,,"TNA, BLK(BLACK)",X,,25353600,56400000,밀리테크 / 타키사다나고야,"밀리테크) MT-3817CH-DTP
타키사다나고야) 1060201",,아이블
신인철,안세진,8GPOM27103,[WM] 남성 라이트 립스탑 숏츠,M,2,0,완사입,TBO,베트남,2차,4월2주,O,,"TBU, BLK(BLACK)",X,,14775000,39500000,플레이트,플레이트) PS-1426,,TBO
신인철,안세진/장지은,8HPOM27102,[WM] 여성 라이트 립스탑 숏츠,M,2,0,완사입,TBO,베트남,2차,4월2주,X,,"TBU, BLK(BLACK)",X,,14190000,41400000,플레이트,플레이트) PS-1426,,TBO
신인철,장지은,8HJJM27102,[WM] 여성 메쉬 크롭 재킷,M,2,0,완사입,원전,베트남,2차,4월2주,O,,"PIN, BLK(BLACK)",X,,64442700,203000000,소노,소노) 25SS-C-006,,원전
신인철,장지은,8UTCM27105,[WM] 공용 프린트 반팔티,M,3,0,완사입,주연,중국,2차,4월2주,O,,"OWH, AQU(AQUA), BLK(BLACK)",X,,9513420,36960000,태진,태진) TJ-01445,,주연
신인철,장지은,8HTCM27102,[WM] 여성 프린트 반팔티,M,3,0,완사입,주연,중국,2차,4월2주,O,,"OWH, PIN, BLK(BLACK)",X,,11279950,42900000,,,,
신인철,안세진,8UPOM27103,[WM] 남녀공용 피싱 카고 숏츠,M,2,0,완사입,YIC,베트남,2차,4월2주,O,,"BLK(BLACK), KHA(KHAKI)",X,,16900000,33600000,서진,서진) SUHW-NN500,,YIC
신인철,안세진,8NREX27101,[WM] 남녀공용 익스퍼트 고어 3L 캡,X,1,0,완사입,캐비야,국내,1차,1월3주,X,,BLK(BLACK),X,,3764706,12800000,,,,
신인철,장지은,8NREM27102,[WM] 남녀공용 유틸리티 메쉬 캡,M,3,0,완사입,캐비야,국내,2차,4월2주,X,,"BLK(BLACK), LGY(L/GRAY), TNA",X,,10000000,34000000,,,,
신인철,안세진,8NREX27103,[WM] 남녀공용 익스퍼트 베이직 3L 캡,X,2,0,완사입,캐비야,국내,1차,1월3주,X,,"BLK(BLACK), KHA(KHAKI)",X,,6470588,22000000,,,,
신인철,장지은,8NRES27104,[WM] 남녀공용 쉐이드 캠프 캡,S,2,0,완사입,피앤지,베트남,1차,1월3주,X,,"TNA, BLK(BLACK)",X,,5735294,19500000,,,,
신인철,장지은,8NREM27105,[WM] 남녀공용 라이트 쉘 캡,M,2,0,완사입,피앤지,베트남,2차,4월2주,X,,"BLK(BLACK), LGY(L/GRAY)",X,,4588235,15600000,,,,
신인철,장지은,8NRFS27101,[WM] 남녀공용 그리드 매쉬 햇,S,2,0,완사입,피앤지,베트남,1차,1월3주,X,,"BLK(BLACK), TNA",X,,6000000,20400000,,,,
신인철,장지은,8NRFS27102,[WM] 남녀공용 패커블 립스탑 햇,S,2,0,완사입,피앤지,베트남,1차,1월3주,X,,"TBU, BLK(BLACK)",X,,5735294,19500000,,,,
신인철,안세진,8NRFS27103,[WM] 남녀공용 쉐이드 버킷 햇,S,3,0,완사입,피앤지,베트남,1차,1월3주,X,,"KHA(KHAKI), BLK(BLACK), OWH",X,,13764706,46800000,,,,
신인철,안세진,8NBDX26301,[WM] 익스퍼트 X-PAC 사코슈백,X,1,0,완사입,신일,중국,1차,1월3주,,,BLK(BLACK),,,0,0,,,,
신인철,안세진,8NBDX27101,[WM] 익스퍼트 X-PAC 슬링백,X,1,0,완사입,신일,중국,1차,1월3주,X,,BLK(BLACK),X,,8735294,29700000,,,,
신인철,장지은,8NLAS27101,[WM] 남녀공용 프린트 양말,S,3,0,완사입,건우,국내,1차,1월3주,X,,"OWH, TNA, BLK(BLACK)",X,,2647059,9000000,,,,
신인철,안세진,8NHAS27101,[WM] 남녀공용 3지 익스퍼트 장갑,S,1,0,완사입,시즈,베트남,1차,1월3주,X,,BLK(BLACK),X,,2558824,8700000,,,,
신인철,장지은,8NHAM27102,[WM] 남녀공용 3지 라이트 익스퍼트 장갑,M,1,0,완사입,시즈,베트남,2차,4월2주,X,,BLK(BLACK),X,,3411765,11600000,,,,
